,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
222,,,,,,,,,,,,,,,,,,,487.0,,,859.0,511.0,933.0,178.0,168.0,390.0
223,,,,,,,,,,,,,,,,,,,1157.0,1085.0,,594.0,514.0,715.0,142.0,155.0,369.0
224,,,,,,,,,,,,,,,,,,,,,,,679.0,825.0,64.0,203.0,323.0
225,,,,,,,,,,,,,,,,,,,339.0,,,281.0,780.0,897.0,209.0,169.0,297.0
226,,,,,,,,,,,,,,,,,,,,,,298.0,425.0,807.0,102.0,210.0,400.0
227,,,,,,,,,,,,,,,,,,,,,,876.0,283.0,879.0,238.0,237.0,348.0
228,,,,,,,,,,,,,,,,,,,335.0,1191.0,,803.0,440.0,970.0,123.0,196.0,371.0
229,,,,,,,,,,,,,,,,,,,441.0,,,923.0,775.0,939.0,115.0,170.0,382.0
230,,,,,,,,,,,,,,,,,,,,,,903.0,461.0,1140.0,158.0,233.0,267.0
231,,,,,,,,,,,,,,,,,,,,,,232.0,832.0,747.0,168.0,232.0,447.0
232,,,,,,,,,,,,,,,,,,,317.0,,,417.0,377.0,633.0,91.0,247.0,328.0
233,,,,,,,,,,,,,,,,,,,,,,627.0,589.0,,165.0,203.0,221.0
234,,,,,,,,,,,,,,,,,,,726.0,,,389.0,274.0,1170.0,142.0,170.0,257.0
235,,,,,,,,,,,,,,,,,,,,,,347.0,635.0,1065.0,149.0,203.0,276.0
236,,,,,,,,,,,,,,,,,,,,915.0,,241.0,449.0,1016.0,195.0,240.0,372.0
237,,,,,,,,,,,,,,,,,,,894.0,,,461.0,453.0,829.0,177.0,124.0,243.0
238,,,,,,,,,,,,,,,,615.0,,,329.0,,,293.0,638.0,989.0,67.0,191.0,334.0
239,,,,,,,,,,,,,,,,,,,227.0,1167.0,,91.0,552.0,595.0,79.0,227.0,362.0
240,,,,,,,,,,,,,,,,,,,1055.0,1042.0,,222.0,458.0,1128.0,307.0,242.0,314.0
241,,,,,,,,,,,,,,,,1136.0,,,,,,917.0,746.0,842.0,178.0,221.0,262.0
242,,,,,,,,,,,,,,,,114.0,,,,,,292.0,543.0,852.0,254.0,243.0,207.0
243,,,,,,,,,,,,,,,,295.0,,,678.0,,,298.0,537.0,907.0,95.0,189.0,225.0
244,,,,,,,,,,,,,,,,,,,,,,345.0,307.0,1085.0,196.0,221.0,392.0
245,,,,,,,,,,,,,,,,,,,,,,358.0,529.0,1053.0,394.0,266.0,306.0
246,,,,,,,,,,,,,,,,,,,658.0,,,1181.0,426.0,752.0,191.0,154.0,235.0
247,,,,,,,,,,,,,,,,,,,,,,861.0,593.0,988.0,103.0,137.0,329.0
248,,,,,,,,,,,,,,,,,,,,,,1196.0,474.0,1195.0,312.0,248.0,265.0
