,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
220,7.0,4.0,23.0,38.0,4.0,63.0,33.0,4.0,302.0,8.0,4.0,263.0,43.0,4.0,139.0,5.0,3.0,47.0,3.0,3.0,19.0
221,5.0,3.0,894.0,26.0,3.0,1122.0,35.0,4.0,320.0,37.0,4.0,200.0,43.0,4.0,214.0,13.0,3.0,32.0,4.0,3.0,18.0
222,6.0,6.0,491.0,65.0,3.0,858.0,36.0,5.0,512.0,26.0,5.0,121.0,8.0,4.0,151.0,6.0,4.0,95.0,4.0,3.0,39.0
223,85.0,0.0,284.0,136.0,4.0,116.0,39.0,3.0,201.0,10.0,5.0,250.0,5.0,4.0,104.0,13.0,3.0,65.0,4.0,3.0,17.0
224,7.0,3.0,401.0,20.0,4.0,629.0,84.0,4.0,225.0,74.0,4.0,120.0,27.0,3.0,124.0,7.0,3.0,44.0,5.0,3.0,52.0
225,45.0,5.0,98.0,21.0,3.0,61.0,9.0,4.0,668.0,21.0,4.0,114.0,27.0,3.0,138.0,8.0,3.0,57.0,4.0,3.0,15.0
226,17.0,4.0,191.0,39.0,4.0,280.0,35.0,4.0,262.0,75.0,3.0,193.0,6.0,3.0,249.0,14.0,3.0,51.0,3.0,3.0,29.0
227,12.0,3.0,903.0,44.0,3.0,100.0,134.0,4.0,219.0,83.0,3.0,159.0,24.0,3.0,78.0,11.0,3.0,44.0,5.0,3.0,32.0
228,4.0,3.0,1184.0,19.0,4.0,357.0,63.0,5.0,222.0,41.0,4.0,185.0,10.0,4.0,141.0,7.0,4.0,62.0,4.0,3.0,14.0
229,13.0,4.0,371.0,22.0,3.0,205.0,41.0,3.0,479.0,24.0,3.0,233.0,12.0,8.0,181.0,15.0,4.0,84.0,9.0,3.0,34.0
230,66.0,4.0,428.0,50.0,3.0,119.0,53.0,5.0,535.0,55.0,4.0,176.0,18.0,4.0,49.0,17.0,6.0,28.0,4.0,3.0,26.0
231,81.0,3.0,145.0,68.0,5.0,118.0,39.0,4.0,446.0,12.0,4.0,207.0,13.0,4.0,404.0,7.0,3.0,47.0,4.0,3.0,18.0
232,181.0,4.0,126.0,46.0,4.0,557.0,19.0,3.0,285.0,30.0,5.0,261.0,52.0,3.0,68.0,5.0,4.0,31.0,3.0,3.0,26.0
233,14.0,3.0,119.0,36.0,4.0,380.0,45.0,3.0,104.0,61.0,3.0,105.0,26.0,4.0,113.0,18.0,3.0,38.0,4.0,3.0,5.0
234,57.0,3.0,457.0,84.0,4.0,174.0,29.0,5.0,206.0,78.0,4.0,185.0,20.0,4.0,165.0,20.0,3.0,68.0,4.0,3.0,7.0
235,26.0,4.0,259.0,32.0,3.0,344.0,4.0,4.0,369.0,35.0,4.0,192.0,44.0,4.0,115.0,25.0,3.0,20.0,4.0,3.0,18.0
236,23.0,3.0,248.0,6.0,4.0,1223.0,51.0,3.0,317.0,42.0,5.0,126.0,9.0,3.0,79.0,11.0,4.0,41.0,5.0,4.0,12.0
237,67.0,4.0,602.0,35.0,4.0,279.0,37.0,3.0,597.0,65.0,5.0,162.0,50.0,4.0,52.0,25.0,4.0,75.0,10.0,3.0,23.0
238,27.0,4.0,207.0,5.0,3.0,176.0,91.0,6.0,121.0,46.0,5.0,124.0,15.0,4.0,108.0,6.0,3.0,50.0,4.0,3.0,33.0
239,0.0,4.0,96.0,18.0,3.0,821.0,21.0,4.0,270.0,11.0,4.0,143.0,18.0,4.0,112.0,13.0,5.0,40.0,4.0,3.0,10.0
240,51.0,4.0,546.0,20.0,3.0,674.0,9.0,3.0,319.0,44.0,3.0,253.0,16.0,3.0,239.0,12.0,3.0,44.0,12.0,3.0,31.0
