,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
271,,,,,,171.0,,,369.0,,,186.0,,,814.0,,,993.0,,,
272,230.0,,354.0,566.0,,303.0,,,633.0,1105.0,,34.0,,,,,,,,,
273,,,188.0,,,31.0,,,36.0,,,681.0,,,634.0,,,,,,
274,,,107.0,332.0,,217.0,,,32.0,,,509.0,,,295.0,,,1116.0,,,
275,,,93.0,,,881.0,,,26.0,,,474.0,,,983.0,,,,,,
276,195.0,,173.0,869.0,,54.0,751.0,,288.0,,,438.0,,,549.0,,,779.0,,,
277,440.0,,340.0,,,531.0,,,147.0,,,78.0,,,648.0,,,393.0,,,
278,,,,,,66.0,,,391.0,,,496.0,,,150.0,,,1081.0,,,
279,938.0,,,,,555.0,649.0,,33.0,,,245.0,,,303.0,,,578.0,,,
280,,,1043.0,103.0,,587.0,,,113.0,,,258.0,,,385.0,,,,,,
281,,,672.0,,,111.0,,,95.0,,,281.0,,,714.0,,,1089.0,,,
282,,,,,,352.0,,,449.0,,,373.0,,,210.0,,,927.0,,,
283,,,126.0,,,397.0,,,37.0,,,1065.0,,,415.0,,,967.0,,,
284,,,61.0,,,351.0,1017.0,,531.0,878.0,,320.0,,,707.0,,,,,,
285,,,,,,282.0,298.0,,308.0,934.0,,320.0,,,642.0,,,749.0,,,
286,566.0,,672.0,,,106.0,,,94.0,745.0,,66.0,,,259.0,,,,,,
287,173.0,,1086.0,,,337.0,,,435.0,,,67.0,,,456.0,,,,,,
288,,,84.0,,,68.0,,,59.0,,,256.0,,,238.0,,,,,,
289,962.0,,95.0,657.0,,642.0,523.0,,129.0,,,601.0,,,393.0,,,,,,
290,,,,,,642.0,,,238.0,,,276.0,,,740.0,,,,,,
291,,,69.0,,,486.0,1144.0,,145.0,,,452.0,,,,,,547.0,,,
292,936.0,,38.0,642.0,,727.0,,,180.0,,,150.0,,,645.0,,,,,,
293,150.0,,221.0,,,,,,165.0,,,310.0,,,530.0,,,808.0,,,
294,,,178.0,552.0,,171.0,186.0,,110.0,,,59.0,,,807.0,,,773.0,,,
295,,,52.0,,,256.0,,,111.0,,,344.0,,,441.0,,,,,,
296,,,197.0,352.0,,126.0,,,295.0,,,470.0,,,939.0,,,1143.0,,,
