,type0,type1,type2,type3
577,11.0,26.0,3.0,477.0
578,5.0,102.0,5.0,4.0
579,48.0,22.0,3.0,324.0
580,13.0,4.0,4.0,247.0
581,111.0,4.0,2.0,86.0
582,9.0,4.0,3.0,477.0
583,28.0,37.0,2.0,61.0
584,384.0,58.0,4.0,710.0
585,34.0,11.0,2.0,227.0
586,12.0,7.0,3.0,331.0
587,7.0,10.0,2.0,690.0
588,25.0,202.0,3.0,587.0
589,6.0,39.0,4.0,84.0
590,2.0,38.0,3.0,7.0
591,163.0,29.0,3.0,9.0
592,51.0,29.0,3.0,387.0
593,55.0,4.0,3.0,4.0
594,96.0,5.0,4.0,95.0
595,185.0,7.0,4.0,303.0
596,23.0,3.0,3.0,352.0
597,63.0,15.0,4.0,303.0
598,5.0,239.0,3.0,20.0
599,3.0,76.0,3.0,5.0
600,192.0,3.0,4.0,3.0
601,78.0,4.0,3.0,11.0
602,52.0,3.0,3.0,137.0
603,66.0,111.0,4.0,134.0
604,9.0,8.0,3.0,249.0
605,6.0,6.0,2.0,577.0
606,51.0,53.0,4.0,6.0
607,24.0,58.0,4.0,851.0
608,29.0,4.0,4.0,29.0
609,207.0,3.0,4.0,65.0
610,3.0,76.0,3.0,471.0
611,30.0,72.0,3.0,72.0
612,202.0,46.0,3.0,465.0
613,50.0,5.0,3.0,346.0
614,386.0,1.0,2.0,112.0
615,3.0,81.0,4.0,227.0
616,33.0,38.0,3.0,583.0
617,49.0,4.0,3.0,483.0
618,4.0,14.0,3.0,20.0
619,32.0,38.0,3.0,230.0
620,5.0,10.0,3.0,4.0
621,134.0,3.0,3.0,177.0
622,7.0,4.0,2.0,4.0
623,5.0,54.0,3.0,419.0
624,223.0,72.0,4.0,223.0
625,5.0,4.0,3.0,64.0
626,18.0,3.0,4.0,470.0
627,74.0,18.0,2.0,410.0
628,5.0,3.0,2.0,234.0
629,11.0,38.0,3.0,709.0
630,146.0,116.0,3.0,279.0
631,9.0,15.0,3.0,404.0
632,4.0,4.0,2.0,362.0
633,23.0,113.0,4.0,30.0
634,4.0,63.0,2.0,598.0
635,10.0,7.0,3.0,584.0
636,5.0,49.0,3.0,65.0
637,17.0,16.0,3.0,64.0
638,6.0,55.0,3.0,21.0
639,2.0,61.0,3.0,616.0
640,13.0,70.0,4.0,407.0
641,88.0,7.0,2.0,90.0
642,3.0,7.0,4.0,341.0
643,62.0,28.0,3.0,106.0
644,4.0,6.0,3.0,630.0
645,90.0,15.0,3.0,440.0
646,5.0,5.0,3.0,605.0
647,5.0,5.0,3.0,35.0
648,15.0,6.0,3.0,21.0
649,32.0,4.0,2.0,633.0
650,42.0,1.0,4.0,143.0
651,30.0,111.0,2.0,668.0
652,27.0,29.0,3.0,369.0
653,3.0,10.0,4.0,747.0
654,27.0,2.0,3.0,4.0
655,6.0,45.0,2.0,191.0
656,2.0,70.0,4.0,184.0
657,5.0,132.0,4.0,936.0
658,4.0,55.0,4.0,79.0
659,60.0,17.0,3.0,281.0
660,39.0,5.0,3.0,362.0
661,17.0,5.0,3.0,2.0
662,57.0,50.0,3.0,511.0
663,5.0,70.0,3.0,229.0
664,13.0,7.0,3.0,775.0
665,3.0,25.0,3.0,238.0
666,5.0,3.0,3.0,201.0
667,79.0,8.0,3.0,6.0
668,37.0,88.0,2.0,5.0
669,81.0,4.0,2.0,297.0
670,8.0,2.0,3.0,692.0
671,12.0,60.0,3.0,157.0
672,98.0,43.0,3.0,386.0
673,4.0,4.0,4.0,791.0
674,2.0,23.0,2.0,616.0
675,4.0,5.0,2.0,20.0
676,5.0,5.0,3.0,72.0
677,4.0,1.0,3.0,313.0
678,76.0,2.0,3.0,9.0
679,3.0,4.0,3.0,641.0
680,147.0,20.0,4.0,281.0
681,26.0,156.0,3.0,613.0
682,2.0,7.0,3.0,461.0
683,14.0,275.0,3.0,96.0
684,3.0,3.0,4.0,8.0
685,5.0,4.0,1.0,302.0
686,47.0,4.0,2.0,2.0
687,132.0,78.0,3.0,673.0
688,115.0,12.0,2.0,2.0
689,140.0,3.0,3.0,9.0
690,14.0,3.0,3.0,680.0
691,67.0,5.0,3.0,846.0
692,10.0,5.0,4.0,54.0
693,50.0,3.0,2.0,20.0
694,5.0,63.0,2.0,4.0
695,4.0,70.0,2.0,229.0
696,19.0,33.0,3.0,195.0
697,27.0,4.0,2.0,92.0
698,17.0,3.0,2.0,4.0
699,141.0,32.0,3.0,22.0
700,17.0,17.0,1.0,371.0
701,4.0,39.0,3.0,105.0
702,57.0,2.0,3.0,108.0
703,1.0,3.0,2.0,719.0
704,126.0,25.0,5.0,492.0
705,3.0,42.0,4.0,331.0
706,5.0,2.0,3.0,18.0
707,16.0,78.0,4.0,151.0
708,40.0,4.0,4.0,13.0
709,10.0,57.0,3.0,446.0
710,54.0,3.0,3.0,7.0
711,83.0,56.0,3.0,496.0
712,54.0,3.0,3.0,864.0
713,4.0,68.0,3.0,288.0
714,3.0,394.0,3.0,175.0
715,21.0,3.0,2.0,327.0
716,28.0,50.0,3.0,79.0
717,4.0,6.0,2.0,155.0
718,4.0,10.0,4.0,573.0
719,7.0,19.0,4.0,464.0
720,3.0,20.0,3.0,379.0
721,59.0,5.0,2.0,7.0
722,45.0,77.0,4.0,476.0
723,3.0,4.0,3.0,148.0
724,3.0,30.0,4.0,635.0
725,24.0,3.0,4.0,471.0
726,20.0,104.0,3.0,96.0
727,2.0,39.0,1.0,42.0
728,15.0,2.0,6.0,220.0
729,44.0,19.0,2.0,500.0
730,134.0,19.0,4.0,710.0
731,9.0,4.0,2.0,823.0
732,5.0,9.0,4.0,713.0
733,4.0,6.0,3.0,370.0
734,50.0,159.0,3.0,80.0
735,17.0,105.0,2.0,815.0
736,5.0,6.0,3.0,242.0
737,3.0,4.0,2.0,285.0
738,104.0,5.0,4.0,534.0
739,4.0,9.0,3.0,18.0
740,4.0,148.0,4.0,574.0
741,5.0,43.0,3.0,203.0
742,8.0,4.0,4.0,879.0
743,16.0,5.0,3.0,539.0
744,24.0,2.0,4.0,4.0
745,42.0,9.0,3.0,295.0
746,36.0,12.0,2.0,290.0
747,6.0,9.0,4.0,732.0
748,27.0,7.0,3.0,316.0
749,3.0,18.0,3.0,61.0
750,65.0,10.0,4.0,849.0
751,51.0,3.0,3.0,323.0
752,15.0,63.0,3.0,60.0
753,5.0,5.0,3.0,163.0
754,4.0,4.0,3.0,148.0
755,5.0,5.0,3.0,23.0
756,78.0,24.0,3.0,860.0
757,10.0,5.0,4.0,84.0
758,40.0,7.0,2.0,580.0
759,166.0,118.0,3.0,287.0
760,77.0,4.0,3.0,65.0
761,146.0,57.0,3.0,286.0
762,2.0,3.0,3.0,377.0
763,6.0,14.0,3.0,627.0
764,7.0,7.0,2.0,408.0
765,3.0,3.0,3.0,1.0
766,9.0,12.0,4.0,184.0
767,2.0,3.0,3.0,6.0
768,4.0,44.0,4.0,3.0
769,7.0,20.0,4.0,382.0
770,5.0,7.0,2.0,670.0
771,29.0,89.0,2.0,119.0
772,2.0,2.0,3.0,27.0
