,type0,type1,type2,type3
1201,87.0,,,159.0
1202,,,,
1203,,,,79.0
1204,,,,51.0
1205,,,,84.0
1206,,,,31.0
1207,,,,161.0
1208,,,,44.0
1209,,,,81.0
1210,231.0,,,
1211,278.0,,,86.0
1212,,,,59.0
1213,,818.0,,84.0
1214,,,,71.0
1215,1029.0,,,178.0
1216,200.0,,,174.0
1217,,,,84.0
1218,,,,231.0
1219,,,,32.0
1220,,,,108.0
1221,,,,118.0
1222,,,,92.0
1223,,98.0,,
1224,309.0,,,106.0
1225,,98.0,,186.0
1226,,,,35.0
1227,69.0,,,
1228,201.0,,,22.0
1229,158.0,,,137.0
1230,,,,69.0
1231,,,,
1232,,,,22.0
1233,,,,121.0
1234,,263.0,,54.0
1235,41.0,275.0,,42.0
1236,212.0,,,170.0
1237,,,,41.0
1238,352.0,,,114.0
1239,,,,71.0
1240,180.0,,,
1241,,716.0,,
1242,,201.0,,
1243,,,,
1244,,176.0,,
1245,92.0,,,116.0
1246,87.0,131.0,,70.0
1247,,,,246.0
1248,,,,23.0
1249,,276.0,,44.0
1250,,,,
1251,,,,42.0
1252,,,,
1253,,,,183.0
1254,311.0,211.0,,35.0
1255,170.0,83.0,,68.0
1256,80.0,775.0,,
1257,,,,106.0
1258,,,,113.0
1259,,,,
1260,,154.0,,
1261,,,,285.0
1262,,,,65.0
1263,100.0,,,162.0
1264,,,,172.0
1265,159.0,,,
1266,745.0,,,104.0
1267,,162.0,,83.0
1268,355.0,,,64.0
1269,,,,155.0
1270,,644.0,,19.0
1271,,,,67.0
1272,,,,39.0
1273,249.0,,,62.0
1274,,269.0,,97.0
1275,,215.0,,
1276,,,,111.0
1277,,,,59.0
1278,,296.0,,155.0
1279,,,,49.0
1280,564.0,333.0,,
1281,,,,
1282,148.0,,,125.0
1283,,,,34.0
1284,,,,83.0
1285,,,,
1286,347.0,,,50.0
1287,270.0,,,72.0
1288,47.0,,,200.0
1289,,,,
1290,,303.0,,
1291,,,,132.0
1292,,,,98.0
1293,,,,
1294,65.0,,,174.0
1295,,56.0,,
1296,,,,
1297,234.0,,,
1298,,,,47.0
1299,814.0,,,28.0
1300,,165.0,,149.0
1301,162.0,,,22.0
1302,434.0,406.0,,
1303,,,,
1304,,,,98.0
1305,336.0,,,75.0
